no; date;temp;comment
160;04.16.19 10:29:58AM;15,76;
161;04.16.19 12:29:58PM;15,951;
162;04.16.19 02:29:58PM;16,141;
163;04.16.19 04:29:58PM;16,237;
164;04.16.19 06:29:58PM;16,141;
165;04.16.19 08:29:58PM;16,141;
166;04.16.19 10:29:58PM;16,046;
167;04.17.19 12:29:58AM;15,951;
168;04.17.19 02:29:58AM;15,855;
169;04.17.19 04:29:58AM;15,76;
170;04.17.19 06:29:58AM;15,664;
171;04.17.19 08:29:58AM;15,664;
172;04.17.19 10:29:58AM;15,951;
173;04.17.19 12:29:58PM;16,332;
174;04.17.19 02:29:58PM;16,523;
175;04.17.19 04:29:58PM;16,618;
176;04.17.19 06:29:58PM;16,427;
177;04.17.19 08:29:58PM;16,523;
178;04.17.19 10:29:58PM;16,332;
179;04.18.19 12:29:58AM;16,237;
180;04.18.19 02:29:58AM;16,141;
181;04.18.19 04:29:58AM;16,046;
182;04.18.19 06:29:58AM;15,951;
183;04.18.19 08:29:58AM;15,951;
184;04.18.19 10:29:58AM;16,332;
185;04.18.19 12:29:58PM;17,094;
186;04.18.19 02:29:58PM;16,903;
187;04.18.19 04:29:58PM;16,427;
188;04.18.19 06:29:58PM;16,618;
189;04.18.19 08:29:58PM;16,618;
190;04.18.19 10:29:58PM;16,618;
191;04.19.19 12:29:58AM;16,523;
192;04.19.19 02:29:58AM;16,332;
193;04.19.19 04:29:58AM;16,237;
194;04.19.19 06:29:58AM;16,237;
195;04.19.19 08:29:58AM;16,141;
196;04.19.19 10:29:58AM;16,332;
197;04.19.19 12:29:58PM;16,808;
198;04.19.19 02:29:58PM;17,094;
199;04.19.19 04:29:58PM;16,999;
200;04.19.19 06:29:58PM;16,999;
201;04.19.19 08:29:58PM;16,999;
202;04.19.19 10:29:58PM;16,903;
203;04.20.19 12:29:58AM;16,713;
204;04.20.19 02:29:58AM;16,618;
205;04.20.19 04:29:58AM;16,427;
206;04.20.19 06:29:58AM;16,332;
207;04.20.19 08:29:58AM;16,237;
208;04.20.19 10:29:58AM;16,523;
209;04.20.19 12:29:58PM;16,808;
210;04.20.19 02:29:58PM;16,713;
211;04.20.19 04:29:58PM;16,523;
212;04.20.19 06:29:58PM;16,332;
213;04.20.19 07:26:14PM;;
214;04.20.19 07:26:53PM;;Protokolliert
215;04.20.19 08:29:58PM;16,237;
216;04.20.19 10:29:58PM;16,046;
217;04.21.19 12:29:58AM;16,046;
218;04.21.19 02:29:58AM;15,951;
219;04.21.19 04:29:58AM;15,951;
220;04.21.19 06:29:58AM;15,855;
221;04.21.19 08:29:58AM;15,855;
222;04.21.19 10:01:53AM;;
223;04.21.19 10:02:27AM;;Protokolliert
224;04.21.19 10:29:58AM;16,141;
225;04.21.19 12:29:58PM;16,999;
226;04.21.19 02:29:58PM;17,189;
227;04.21.19 04:29:58PM;16,713;
228;04.21.19 06:29:58PM;16,332;
229;04.21.19 08:29:58PM;15,951;
230;04.21.19 10:29:58PM;15,76;
231;04.22.19 12:29:58AM;15,664;
232;04.22.19 02:29:58AM;15,473;
233;04.22.19 04:29:58AM;15,378;
234;04.22.19 06:29:58AM;15,187;
235;04.22.19 08:29:58AM;15,091;
236;04.22.19 10:29:58AM;15,378;
237;04.22.19 12:29:58PM;18,14;
238;04.22.19 02:29:58PM;15,76;
239;04.22.19 04:29:58PM;15,664;
240;04.22.19 06:29:58PM;15,378;
241;04.22.19 08:29:58PM;15,76;
242;04.22.19 10:29:58PM;15,664;
243;04.23.19 12:29:58AM;15,569;
244;04.23.19 02:29:58AM;15,569;
245;04.23.19 04:29:58AM;15,473;
246;04.23.19 06:29:58AM;15,473;
247;04.23.19 08:29:58AM;15,473;
248;04.23.19 10:29:58AM;15,473;
249;04.23.19 12:29:58PM;15,855;
250;04.23.19 02:29:58PM;15,855;
251;04.23.19 04:29:58PM;15,664;
252;04.23.19 06:29:58PM;15,664;
253;04.23.19 08:29:58PM;15,664;
254;04.23.19 10:29:58PM;15,473;
255;04.24.19 12:29:58AM;15,473;
256;04.24.19 02:29:58AM;15,378;
257;04.24.19 04:29:58AM;15,282;
258;04.24.19 06:29:58AM;15,187;
259;04.24.19 08:29:58AM;15,091;
260;04.24.19 10:29:58AM;15,569;
261;04.24.19 12:29:58PM;15,855;
262;04.24.19 02:29:58PM;15,951;
263;04.24.19 04:29:58PM;15,951;
264;04.24.19 06:29:58PM;15,76;
265;04.24.19 08:29:58PM;15,664;
266;04.24.19 10:29:58PM;15,664;
267;04.25.19 12:29:58AM;15,473;
268;04.25.19 02:29:58AM;15,473;
269;04.25.19 04:29:58AM;15,378;
270;04.25.19 06:29:58AM;15,378;
271;04.25.19 08:29:58AM;15,378;
272;04.25.19 10:29:58AM;16,713;
273;04.25.19 12:29:58PM;15,76;
274;04.25.19 02:29:58PM;15,76;
275;04.25.19 04:29:58PM;15,951;
276;04.25.19 06:29:58PM;15,855;
277;04.25.19 08:29:58PM;15,855;
278;04.25.19 10:29:58PM;15,76;
279;04.26.19 12:29:58AM;15,664;
280;04.26.19 02:29:58AM;15,664;
281;04.26.19 04:29:58AM;15,569;
282;04.26.19 06:29:58AM;15,569;
283;04.26.19 08:29:58AM;15,569;
284;04.26.19 10:29:58AM;15,569;
285;04.26.19 12:29:58PM;15,76;
286;04.26.19 02:29:58PM;15,76;
287;04.26.19 04:29:58PM;15,76;
288;04.26.19 06:29:58PM;15,664;
289;04.26.19 08:29:58PM;15,664;
290;04.26.19 10:29:58PM;15,569;
291;04.27.19 12:29:58AM;15,473;
292;04.27.19 02:29:58AM;15,378;
293;04.27.19 04:29:58AM;15,378;
294;04.27.19 06:29:58AM;15,378;
295;04.27.19 08:29:58AM;15,378;
296;04.27.19 10:29:58AM;15,473;
297;04.27.19 12:29:58PM;15,664;
298;04.27.19 02:29:58PM;15,569;
299;04.27.19 04:29:58PM;15,664;
300;04.27.19 06:00:04PM;;
301;04.27.19 06:00:08PM;;
302;04.27.19 06:00:18PM;;
303;04.27.19 06:00:57PM;;Protokolliert
304;04.27.19 06:29:58PM;15,855;
305;04.27.19 08:29:58PM;15,855;
306;04.27.19 10:29:58PM;15,76;
307;04.28.19 12:29:58AM;15,664;
308;04.28.19 02:29:58AM;15,569;
309;04.28.19 04:29:58AM;15,473;
310;04.28.19 06:29:58AM;15,473;
311;04.28.19 08:29:58AM;15,473;
312;04.28.19 10:29:58AM;15,473;
313;04.28.19 12:29:58PM;15,855;
314;04.28.19 02:29:58PM;15,855;
315;04.28.19 04:29:58PM;15,855;
316;04.28.19 06:29:58PM;15,855;
317;04.28.19 08:29:58PM;15,76;
318;04.28.19 10:29:58PM;15,664;
319;04.29.19 12:29:58AM;15,664;
320;04.29.19 02:29:58AM;15,664;
321;04.29.19 04:29:58AM;15,664;
322;04.29.19 06:29:58AM;15,569;
323;04.29.19 08:29:58AM;15,569;
324;04.29.19 10:29:58AM;15,569;
325;04.29.19 12:29:58PM;15,855;
326;04.29.19 02:29:58PM;20,519;
327;04.29.19 04:29:58PM;22,142;
328;04.29.19 06:29:58PM;22,046;
329;04.29.19 08:29:58PM;22,046;
330;04.29.19 10:29:58PM;22,046;
331;04.30.19 12:29:58AM;22,046;
332;04.30.19 02:29:58AM;21,951;
333;04.30.19 04:29:58AM;21,951;
334;04.30.19 06:29:58AM;21,855;
335;04.30.19 08:29:58AM;21,855;
336;04.30.19 10:29:58AM;21,951;
337;04.30.19 12:29:58PM;22,046;
338;04.30.19 02:29:58PM;22,046;
339;04.30.19 04:29:58PM;22,238;
340;04.30.19 06:29:58PM;22,142;
341;04.30.19 08:29:58PM;22,142;
342;04.30.19 10:29:58PM;21,951;
343;05.01.19 12:29:58AM;21,855;
344;05.01.19 02:29:58AM;21,855;
345;05.01.19 04:29:58AM;21,664;
346;05.01.19 06:29:58AM;21,569;
347;05.01.19 08:29:58AM;21,664;
348;05.01.19 10:29:58AM;22,333;
349;05.01.19 12:29:58PM;22,142;
350;05.01.19 02:29:58PM;22,142;
351;05.01.19 04:29:58PM;22,046;
352;05.01.19 06:29:58PM;22,238;
353;05.01.19 08:29:58PM;22,429;
354;05.01.19 10:29:58PM;22,333;
355;05.02.19 12:29:58AM;22,238;
356;05.02.19 02:29:58AM;22,142;
357;05.02.19 04:29:58AM;22,046;
358;05.02.19 06:29:58AM;21,951;
359;05.02.19 08:29:58AM;21,951;
360;05.02.19 10:29:58AM;21,855;
361;05.02.19 12:29:58PM;16,046;
362;05.02.19 02:29:58PM;15,855;
363;05.02.19 04:29:58PM;15,951;
364;05.02.19 06:29:58PM;15,951;
365;05.02.19 08:29:58PM;15,76;
366;05.02.19 10:29:58PM;15,664;
367;05.03.19 12:29:58AM;15,473;
368;05.03.19 02:29:58AM;15,378;
369;05.03.19 04:29:58AM;15,282;
370;05.03.19 06:29:58AM;15,187;
371;05.03.19 08:29:58AM;15,091;
372;05.03.19 10:29:58AM;15,473;
373;05.03.19 12:29:58PM;15,76;
374;05.03.19 02:29:58PM;15,664;
375;05.03.19 04:29:58PM;15,76;
376;05.03.19 06:29:58PM;15,76;
377;05.03.19 08:29:58PM;15,664;
378;05.03.19 10:29:58PM;15,569;
379;05.04.19 12:29:58AM;15,473;
380;05.04.19 02:29:58AM;15,378;
381;05.04.19 04:29:58AM;15,282;
382;05.04.19 06:29:58AM;15,187;
383;05.04.19 08:29:58AM;15,091;
384;05.04.19 10:29:58AM;15,378;
385;05.04.19 12:29:58PM;16,141;
386;05.04.19 02:29:58PM;16,046;
387;05.04.19 04:29:58PM;15,664;
388;05.04.19 06:29:58PM;15,473;
389;05.04.19 08:29:58PM;15,282;
390;05.04.19 10:29:58PM;15,187;
391;05.05.19 12:29:58AM;14,996;
392;05.05.19 02:29:58AM;14,9;
393;05.05.19 04:29:58AM;14,804;
394;05.05.19 06:29:58AM;14,709;
395;05.05.19 08:29:58AM;14,709;
396;05.05.19 10:29:58AM;14,996;
397;05.05.19 12:29:58PM;15,091;
398;05.05.19 02:29:58PM;15,282;
399;05.05.19 04:29:58PM;15,282;
400;05.05.19 06:29:58PM;15,187;
401;05.05.19 08:29:58PM;15,282;
402;05.05.19 10:29:58PM;15,282;
403;05.06.19 12:29:58AM;15,187;
404;05.06.19 02:29:58AM;15,091;
405;05.06.19 04:29:58AM;15,091;
406;05.06.19 06:29:58AM;14,996;
407;05.06.19 08:29:58AM;14,996;
408;05.06.19 10:29:58AM;15,473;
409;05.06.19 12:29:58PM;15,76;
410;05.06.19 02:29:58PM;15,76;
411;05.06.19 04:29:58PM;15,664;
412;05.06.19 06:29:58PM;15,569;
413;05.06.19 08:29:58PM;15,473;
414;05.06.19 10:29:58PM;15,378;
415;05.07.19 12:29:58AM;15,378;
416;05.07.19 02:29:58AM;15,378;
417;05.07.19 04:29:58AM;15,378;
418;05.07.19 06:29:58AM;15,282;
419;05.07.19 08:29:58AM;15,282;
420;05.07.19 10:29:58AM;15,569;
421;05.07.19 12:29:58PM;15,855;
422;05.07.19 02:29:58PM;15,76;
423;05.07.19 04:29:58PM;15,76;
424;05.07.19 06:29:58PM;15,664;
425;05.07.19 08:29:58PM;15,473;
426;05.07.19 10:29:58PM;16,713;
427;05.08.19 12:29:58AM;18,14;
428;05.08.19 02:29:58AM;17,95;
429;05.08.19 04:29:58AM;17,665;
430;05.08.19 06:29:58AM;17,475;
431;05.08.19 08:29:58AM;17,379;
432;05.08.19 10:29:58AM;17,57;
433;05.08.19 12:29:58PM;17,855;
434;05.08.19 02:29:58PM;18,045;
435;05.08.19 04:29:58PM;18,236;
436;05.08.19 06:05:57PM;;
437;05.08.19 06:06:03PM;;
